Site_code,Time,Site,RCVA_adult,RCVA_juvenile,n_RCVA_adult,n_RCVA_juvenile,RHD1_adult,RHD1_juvenile,n_RHD1_adult,n_RHD1_juvenile,RHD2_adult,RHD2_juvenile,n_RHD2_adult,n_RHD2_juvenile
14,1,Pyramid Hill,16,0,20,0,6,0,20,0,1,0,20,0
14,2,Pyramid Hill,10,1,16,2,13,0,16,2,1,1,17,3
14,3,Pyramid Hill,3,4,6,13,6,2,6,13,0,10,6,13
14,4,Pyramid Hill,3,0,12,7,2,3,12,7,8,2,12,7
14,5,Pyramid Hill,5,0,19,0,0,0,0,0,9,0,19,0
14,6,Pyramid Hill,4,0,7,13,2,0,7,13,3,10,7,13
14,7,Pyramid Hill,1,3,8,9,6,5,8,9,2,2,8,10
14,8,Pyramid Hill,8,4,9,10,6,0,9,10,1,2,9,10
14,9,Pyramid Hill,7,0,17,3,3,0,17,3,1,0,17,3
14,10,Pyramid Hill,14,3,15,4,11,1,15,4,4,1,16,4
14,11,Pyramid Hill,5,2,5,15,4,12,5,15,1,0,5,15
14,12,Pyramid Hill,4,4,7,12,0,0,7,12,1,4,7,12
15,1,Scobie,12,5,86,29,41,8,86,29,0,0,86,29
15,2,Scobie,2,0,8,0,6,0,8,0,2,0,8,0
15,3,Scobie,5,0,12,8,9,1,12,8,1,4,12,8
15,4,Scobie,0,0,11,7,5,2,11,7,3,1,11,7
15,5,Scobie,4,0,14,0,8,0,14,0,2,0,14,0
15,6,Scobie,1,0,7,2,1,0,7,2,3,0,7,2
15,7,Scobie,2,0,8,10,2,1,8,10,5,3,8,10
15,8,Scobie,0,0,8,6,2,0,8,6,1,0,8,6
16,1,Sunbury,71,19,77,22,43,11,79,22,1,0,76,21
16,2,Sunbury,11,0,16,1,2,0,16,1,3,0,17,1
16,3,Sunbury,11,0,19,0,0,0,0,0,10,0,19,0
16,4,Sunbury,18,0,19,0,6,0,19,0,8,0,19,0
16,5,Sunbury,10,0,18,2,6,2,18,2,8,0,18,2
16,6,Sunbury,8,4,10,10,5,0,10,10,4,2,10,10
16,7,Sunbury,8,0,16,2,4,0,16,2,3,0,16,2
16,8,Sunbury,14,2,16,3,1,0,16,3,8,0,16,3
16,9,Sunbury,5,3,6,6,3,6,6,6,1,0,6,6
16,10,Sunbury,5,0,14,2,1,0,14,2,4,0,14,2
